ID,Name,Description,Open Timings,Location,Category,Rating,Review Count
001,Toronto Island Park,"Toronto's outdoor haven: bike trails, picnics with skyline views, Centreville Amusement Park, and epic sunsets at Hanlan’s Point Beach await in this dynamic park. Explore it all on a waterfront bike tour.",10:00 AM - 5:00 PM,Toronto,"Islands, Parks",4.5,8564
002,Canadian Warplane Heritage Museum,"Canadian Warplane Heritage Museum features an extensive collection of vintage aircraft, interactive exhibits, and educational programs for visitors of all ages.",9:00 AM - 5:00 PM,Hamilton,Speciality Museums,4.5,1119
003,Jungle Cat World Wildlife Park,"Jungle Cat World Wildlife Park is a wildlife sanctuary dedicated to conservation and education. It offers visitors the opportunity to observe and learn about various species of animals, including big cats, primates, birds, and reptiles, in a naturalistic setting.",10:00 AM - 5:00 PM,Orono,"Nature and Wildlife Areas, Zoos",4.5,1081
004,The Grotto,"The Grotto is a natural sea cave located within Bruce Peninsula National Park in Ontario, Canada. It is a popular tourist destination known for its stunning geological formations, crystal-clear turquoise waters, and picturesque surroundings.",,Tobermory,"Points of Interest, Landmarks",4.5,1261
005,Canada Aviation and Space museum,"Located on a former military air base just 5 kilometres from the Prime Minister’s residence in Ottawa, the Museum focuses on aviation in Canada within an international context, from its beginnings in 1909 to the present day. As Canada’s contribution to aviation expanded to include aerospace technology, the Museum’s collection and mandate grew to include space flight. The Collection itself consists of more than 130 aircraft and artifacts (propellers, engines) from both civil and military service. It gives particular, but not exclusive, reference to Canadian achievements. The most extensive aviation collection in Canada, it is also considered one of the finest aviation museums in the world. Museum Highlights: Largest surviving piece of the famous Avro Arrow (its nose section); the original Canadarm used on the Endeavour space shuttle; Lancaster WWII bomber; Life in Orbit: The International Space Station exhibition.",10:00 AM - 5:00 PM,Ottawa,Speciality Museums,4.5,1454
006,Sandbanks Provincial Park,"Sandbanks Provincial Park is one of the busiest parks in the province, welcoming over 800,000 visitors in 2020!",,Picton,Parks,4.5,1458
007,Between the Lines Winery,Welcome to a fresh approach to Niagara wines – a balance between tradition and innovation created by two passionate brothers working together to bring out the best in Niagara grapes. Yannick and Greg have spent their life among the vines starting as children in the terraced vineyards of their grandfather and then on the 45 acre estate in Niagara for the past thirteen years.,11:00 AM - 5:00 PM,Niagara-on-the-lake,Wineries and Vineyards,4.5,526
008,Bruce Peninsula National Park,"When visiting Bruce Peninsula National Park, start your adventure at the Parks Canada Visitor Centre in Tobermory. Here you'll find information to help plan your visit including tips on where to go when the Cyprus Lake parking lots are full, activities for children, and recommendations on hiking trails. Don't forget the Visitor Centre also includes a natural history museum and just around the corner, a viewing tower and some great hiking trails. While you're at the Visitor Centre take in an Interpretation program. Other visitor attractions in the park include Singing Sands Beach, Halfway Log Dump with incredible views of limestone cliffs and boulder beaches, and of course the Grotto and Indian Head Cove near Cyprus Lake. Bruce Peninsula National Park also includes the popular Cyprus Lake Campground with 232 camp sites and 10 yurt accommodations.",,Tobermory,"National Parks, Nature and Wildlife Areas, Hiking",4.5,762
009,Parkwood National Historic Site,"An Autobaron's home of innovation and inspiration, and one of Canada's last grand estates. Immerse yourself in the era and lavish lifestyle of R. S. McLaughlin - founder of GM Canada. Beautifully preserved and so evocative of the jazz age & big band styles in automobiles, fashions, sporting life and garden parties. Get up close and personal with extensive access to historic spaces and fascinating stories of achievement and a life well-lived. Learn about the daily life of the large domestic staff that made this grand estate possible, and take a wander through the staff quarters to get a glimpse into the life of service.",10:30 AM - 5:00 AM,Oshawa,"Historic Sites, Points of Interest, Landmarks",4.5,449
010,Bata Shoe Museum,"The Bata Shoe Museum: For Every Shoe There's a Story The Bata Shoe Museum is home to the world's largest, most comprehensive collection of shoes and footwear-related objects. The mission of the BSM is to contribute to the knowledge and understanding of the role of footwear in the social and cultural life of humanity. Through acquiring, conserving, researching, communicating and exhibiting material evidence related to the history of footwear and shoemaking, the Museum illustrates the living habits, the culture and the customs of people from every corner of the world.",10:00 AM - 5:00 PM,Toronto,"Speciality Museums, History Museums",4.5,1362
011,Niagara Glen Nature Areas,"Niagara Glen Nature Areas offer a tranquil escape amidst rugged landscapes and ancient geological formations, ideal for hiking, rock climbing, and nature photography.",,Niagara Falls,"Nature and Wildlife Areas, Parks, Hiking Trails",4.5,854
012,The Hare Wine Co.,"Visit The Hare Wine Co. and be transported to a countryside estate with breathtaking views overlooking the vineyard. Our elegant tasting room, courtyard compiled of repurposed bricks, and garden-side patio provide the perfect backdrop for a romantic getaway or a day out with friends and family. The Hare offers a selection of premium wines, best experienced through a guided wine tasting with one of our expert staff. Please visit our website to reserve your tasting experience. Book now to enjoy an experience well poured in the heart of Niagara's wine country.",10:00 AM - 5:00 PM,Niagara-on-the-lake,Wineries and Vineyards,5,825
013,Flowerpot Island ,"A trip out to Flowerpot Island is a great way to experience Fathom Five National Marine Park. Private tour Boats leaving from Tobermory take visitors over shipwrecks and offer opportunities to see some of the islands in the park. Once you arrive at Flowerpot Island, visitors are treated to crystal clear waters, the Lighthouse Museum, trails, and of course the unique geology of the islands which includes caves and the famous Flowerpots.",,Tobermory,Islands,4.5,726
014,Kakabeka Falls,"Kakabeka Falls, known as 'Niagara of the North,' boasts a majestic cascade plunging into a stunning gorge, offering breathtaking views and opportunities for hiking and sightseeing.",,Kakabeka Falls,Waterfalls,4.5,674
